num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_day,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
1,0,2,67,1,2,1,0,0,4.75,0
1,0,1,15,31,1,0,0,0,8.83,1
1,0,1,31,274,2,1,0,0,8.83,0
1,0,1,316,35,2,1,0,0,8.83,0
2,0,1,232,17,2,1,1,1,8.83,0
1,0,1,156,19,1,1,0,0,8.83,1
1,0,1,196,44,2,1,0,0,8.83,0
1,0,1,283,38,1,1,0,0,8.83,0
1,0,1,34,24,5,1,0,0,8.83,0
1,1,1,63,57,1,0,0,0,8.83,0
1,0,1,5,18,2,0,0,0,8.83,0
1,0,1,6,106,2,0,0,0,8.83,0
1,0,1,227,68,5,1,1,0,8.83,0
1,0,1,181,87,2,1,0,1,8.83,1
1,0,1,8,33,2,0,0,0,8.83,0
2,0,1,138,35,5,1,0,1,8.83,0
1,0,1,134,37,3,0,1,0,8.83,0
2,0,1,8,29,4,1,0,0,8.83,0
1,0,1,23,51,5,1,0,1,8.83,0
1,1,1,57,21,7,1,1,1,8.83,0
2,0,1,85,19,1,1,1,0,8.83,0
1,0,1,65,31,7,0,0,0,8.83,0
1,0,2,27,1,2,1,1,0,8.83,0
1,0,1,93,196,2,1,0,0,8.83,0
1,1,1,16,77,1,0,0,1,8.83,0
2,0,1,118,17,2,1,0,1,8.83,0
2,0,1,90,20,4,0,0,1,8.83,0
1,0,1,168,41,1,1,0,1,8.83,0
1,1,1,127,17,2,1,0,1,8.83,1
2,1,1,18,17,1,1,1,1,8.83,0
1,0,1,153,30,2,1,1,0,8.83,0
1,0,1,51,21,6,1,0,1,8.83,0
2,0,1,186,27,2,1,1,1,8.83,0
1,0,1,5,87,2,1,0,0,8.83,0
1,0,1,65,278,4,0,0,0,8.83,0
1,0,1,2,18,4,1,1,0,8.83,0
1,0,1,263,58,7,0,1,0,8.83,0
6,0,1,172,28,6,0,0,1,8.83,0
1,0,1,161,108,4,1,1,0,8.83,0
4,0,1,230,29,1,1,0,1,8.83,0
1,0,1,7,21,1,0,0,0,8.83,0
1,0,1,42,17,2,0,0,0,8.83,1
1,0,1,71,29,5,1,0,0,8.83,0
1,0,1,22,180,4,1,0,0,8.83,1
1,0,1,81,21,5,1,0,0,8.83,0
2,0,1,140,18,7,1,0,0,8.83,0
1,1,1,42,72,6,0,0,1,8.83,0
1,0,1,168,32,2,1,1,0,8.83,0
1,0,1,285,30,3,1,1,1,8.83,0
2,0,1,179,18,4,1,0,1,8.83,0
2,0,1,341,21,6,1,0,0,8.83,0
2,0,1,96,51,4,1,0,1,8.83,0
4,0,1,173,17,4,1,0,1,8.83,0
1,0,1,180,24,3,0,1,1,8.83,0
4,0,1,366,17,7,1,0,1,8.83,0
3,0,1,229,17,1,1,1,1,8.83,1
2,0,1,174,61,2,1,0,1,8.83,0
2,0,1,82,25,5,1,0,0,8.83,0
1,0,1,75,62,1,0,0,0,8.83,0
2,0,1,163,21,1,1,0,0,8.83,0
1,0,1,105,21,5,1,0,0,8.83,0
2,0,1,276,45,1,1,0,1,8.83,0
1,0,1,35,31,4,1,0,0,8.83,0
1,0,1,110,26,3,1,0,0,8.83,0
1,0,1,83,44,6,1,0,0,8.83,0
1,1,1,154,25,1,1,0,0,8.83,0
1,0,1,118,19,2,1,0,1,8.83,0
1,0,1,55,20,3,0,0,0,8.83,0
1,1,1,45,35,6,0,0,0,8.83,0
1,0,1,54,23,7,0,0,1,8.83,0
1,0,1,193,19,2,0,0,0,8.83,0
1,0,1,10,91,2,1,0,0,8.83,1
1,0,1,166,18,3,1,0,1,8.83,0
1,0,1,97,25,7,1,0,0,8.83,0
5,0,1,239,17,4,1,0,1,8.83,0
2,0,1,97,50,6,1,1,1,8.83,0
1,0,1,182,28,7,0,0,1,8.83,0
1,0,1,99,21,7,0,0,0,8.83,1
1,0,1,23,59,2,1,0,1,8.83,0
1,1,1,53,18,1,1,1,0,8.83,0
1,0,1,28,125,6,0,0,0,8.83,0
1,0,1,384,18,4,0,0,0,8.83,0
2,0,1,22,27,5,1,0,1,8.83,0
1,0,1,70,106,4,1,0,1,8.83,0
1,0,1,126,28,7,1,0,0,8.83,0
1,0,1,8,45,2,0,0,0,8.83,0
2,0,1,51,29,7,1,0,1,8.83,0
1,0,1,142,124,3,1,0,0,8.83,1
1,0,1,87,33,6,1,0,0,8.83,0
5,1,1,238,21,5,1,1,1,8.83,0
2,0,1,86,34,6,1,0,0,8.83,0
1,1,1,313,35,6,1,0,0,8.83,0
2,0,1,41,20,7,1,1,1,8.83,0
1,0,1,91,46,3,1,1,1,8.83,0
1,1,1,41,21,2,1,0,0,8.83,0
1,0,1,82,33,2,1,0,0,8.83,0
5,0,1,206,17,7,1,0,0,8.83,0
4,0,1,6,55,4,1,1,0,8.83,0
5,0,1,197,18,5,1,0,1,8.83,0
1,0,1,34,22,2,1,0,1,8.83,1
2,0,1,112,21,2,1,0,0,8.83,0
2,0,1,268,47,1,1,0,1,8.83,0
1,0,1,157,26,1,1,0,1,8.83,0
2,0,1,145,51,3,1,1,1,8.83,0
4,0,1,241,24,1,0,0,0,8.83,0
1,0,1,172,17,5,0,0,1,8.83,0
1,0,1,99,19,3,0,0,0,8.83,0
1,1,1,139,22,7,1,0,1,8.83,0
1,0,1,59,35,7,0,1,0,8.83,1
1,0,1,396,23,1,1,0,1,8.83,0
2,0,1,280,18,2,1,0,1,8.83,0
1,0,1,79,23,2,0,0,0,8.83,0
1,0,1,37,26,3,1,0,0,8.83,0
2,0,1,69,19,6,1,0,0,8.83,0
1,0,1,380,21,4,1,1,0,8.83,0
5,0,1,206,17,7,1,0,0,8.83,0
1,0,1,13,27,3,1,0,1,8.83,0
1,0,1,229,31,5,0,0,1,8.83,0
1,0,1,132,20,1,1,0,0,8.83,0
4,0,1,121,18,7,1,1,1,8.83,0
4,0,1,316,22,4,1,0,0,8.83,1
5,0,1,67,35,2,1,1,1,8.83,1
1,0,1,419,21,7,1,0,0,8.83,0
2,0,1,18,46,1,0,0,0,8.83,0
1,0,1,58,21,3,1,0,1,8.83,0
2,0,1,115,87,3,0,0,0,8.83,0
1,0,1,236,91,5,1,0,1,8.83,0
1,0,1,225,25,2,1,1,0,8.83,1
1,0,1,116,56,4,1,0,0,8.83,0
1,0,1,34,90,6,1,1,0,8.83,0
1,0,1,191,60,7,1,0,1,8.83,0
1,0,1,55,22,6,1,0,0,8.83,0
1,1,1,53,180,6,1,0,0,8.83,0
1,0,1,13,17,7,0,0,0,8.83,0
1,0,1,275,36,3,1,1,0,8.83,0
1,0,1,58,17,7,1,0,1,8.83,0
2,0,1,45,25,1,0,0,0,8.83,0
2,0,1,417,22,7,1,0,1,8.83,0
2,0,1,159,21,5,1,0,0,8.83,0
2,0,1,173,40,7,0,0,0,8.83,0
2,0,1,92,65,1,1,0,0,8.83,0
1,0,1,106,208,4,1,0,0,8.83,0
3,0,1,316,35,2,0,0,0,8.83,0
2,0,1,245,27,1,0,0,0,8.83,1
3,0,1,218,21,2,0,0,0,8.83,0
1,0,1,96,106,7,1,1,1,8.83,0
1,0,1,67,22,1,0,0,0,8.83,0
1,0,1,145,204,5,1,1,1,8.83,0
1,0,1,295,18,1,0,0,0,8.83,0
1,0,1,57,51,3,1,0,1,8.83,0
1,1,1,12,20,2,1,0,0,8.83,0
3,0,1,77,31,4,1,0,0,8.83,0
2,0,1,7,83,2,1,0,1,8.83,0
1,1,1,305,18,3,0,0,0,8.83,0
2,0,1,235,18,2,1,0,1,8.83,1
1,0,1,332,17,6,0,0,0,8.83,0
1,0,1,3,35,2,1,0,0,8.83,0
2,0,1,56,42,4,1,0,1,8.83,1
2,0,1,125,85,4,1,0,0,8.83,0
1,0,1,86,21,6,1,0,0,8.83,0
2,0,1,204,24,1,1,1,0,8.83,0
1,0,1,310,44,2,1,0,1,8.83,0
1,0,1,115,20,1,1,0,0,8.83,0
1,0,1,57,24,4,1,0,0,8.83,0
4,0,1,368,36,7,0,0,0,8.83,0
1,0,1,59,37,7,0,0,0,8.83,0
1,0,1,6,21,7,0,0,0,8.83,0
3,0,1,67,22,3,1,1,0,8.83,0
1,0,1,169,22,6,1,0,0,8.83,0
1,0,1,214,38,4,0,0,0,8.83,0
1,0,1,5,19,4,1,0,0,8.83,0
2,0,1,14,17,6,1,0,0,8.83,1
2,0,1,173,64,4,0,0,0,8.83,0
1,0,1,7,22,1,1,0,0,8.83,0
1,0,1,196,86,7,1,0,0,8.83,0
2,0,1,155,24,7,1,0,0,8.83,0
1,0,1,245,19,6,0,0,0,8.83,0
1,1,1,22,82,5,1,1,1,8.83,1
1,0,1,325,22,3,1,0,0,8.83,0
1,0,2,6,1,7,1,0,0,8.83,0
2,0,1,130,18,1,0,0,0,8.83,0
1,0,1,218,17,5,1,0,1,8.83,1
1,0,1,189,35,7,1,0,0,8.83,0
1,0,1,35,41,4,1,1,1,8.83,0
1,0,1,189,60,2,0,1,1,8.83,0
4,0,1,226,17,7,1,0,0,8.83,0
1,0,1,122,30,4,1,0,0,8.83,0
2,0,1,88,30,3,1,0,1,8.83,0
4,0,1,211,21,5,1,0,0,8.83,1
1,0,1,259,82,7,1,0,1,8.83,1
5,0,1,188,17,4,1,0,1,8.83,1
1,0,1,129,25,1,1,0,1,8.83,0
2,0,1,190,69,4,1,0,0,8.83,0
1,0,1,172,54,2,1,1,1,8.83,0
1,0,1,149,17,1,1,0,1,8.83,0
1,0,1,15,28,7,0,0,0,8.83,1
4,0,1,38,17,7,0,0,0,8.83,0
1,1,1,8,238,5,1,1,0,8.83,0
1,0,1,214,23,7,1,1,0,8.83,0
1,0,1,14,275,3,1,0,1,8.83,1
2,0,1,9,84,5,1,1,1,8.83,0
1,0,1,70,20,6,0,0,0,8.83,0
3,0,1,35,17,7,1,0,1,8.83,0
4,0,1,53,42,6,1,0,1,8.83,0
1,0,1,77,28,3,1,1,0,8.83,0
2,0,1,259,39,4,1,0,1,8.83,0
1,0,1,106,27,7,0,0,0,8.83,0
1,0,1,194,86,7,1,0,1,8.83,0
1,0,1,134,26,3,1,0,0,8.83,0
1,0,1,3,36,7,0,0,1,8.83,1
1,0,1,149,17,4,1,0,1,8.83,0
2,0,1,9,44,5,1,0,1,8.83,1
1,0,1,37,95,2,1,0,1,8.83,0
2,0,1,183,34,5,1,0,1,8.83,0
1,0,1,40,31,5,1,1,1,8.83,0
1,0,1,95,83,3,0,0,0,8.83,1
1,0,1,135,24,5,0,0,0,8.83,0
1,1,1,15,90,5,1,0,1,8.83,0
1,0,1,222,23,6,0,0,1,8.83,1
2,0,1,64,29,1,1,0,0,8.83,1
1,0,1,162,19,2,1,0,0,8.83,0
1,0,1,22,27,7,0,0,1,8.83,0
2,0,1,150,31,7,1,0,1,8.83,0
1,0,1,73,27,5,0,0,0,8.83,0
3,0,1,133,19,6,0,0,0,8.83,0
1,0,2,24,1,3,1,0,0,8.83,0
1,0,1,66,20,7,0,1,1,8.83,0
3,0,1,89,22,6,1,0,0,8.83,0
2,0,1,105,91,6,1,1,1,8.83,0
1,0,1,115,95,4,1,0,0,8.83,0
1,0,1,151,39,7,1,0,1,8.83,0
3,0,1,349,18,1,1,1,0,8.83,0
1,0,1,13,18,5,1,0,1,8.83,1
2,0,1,29,20,5,0,0,0,8.83,0
1,1,1,69,28,4,1,1,1,8.83,0
5,0,1,206,17,7,1,0,0,8.83,0
1,0,1,6,21,5,1,0,0,8.83,0
2,1,1,23,31,1,1,0,0,8.83,0
1,0,1,197,19,1,0,0,0,8.83,1
2,0,1,368,65,7,1,0,1,8.83,1
1,0,1,25,19,5,1,1,0,8.83,0
1,0,1,189,33,5,1,1,1,8.83,1
1,1,1,123,70,2,0,0,0,8.83,0
2,0,1,298,22,2,1,0,0,8.83,0
1,0,1,89,24,7,1,0,0,8.83,0
1,0,1,241,125,3,1,0,1,8.83,0
2,1,1,195,27,3,1,1,1,8.83,0
1,1,1,84,18,3,0,0,0,8.83,0
1,0,1,410,25,6,1,1,0,8.83,1
3,0,1,95,24,2,1,1,1,8.83,1
1,0,1,122,54,4,0,0,1,8.83,0
2,0,1,216,26,7,0,0,0,8.83,0
1,0,1,89,20,3,1,0,0,8.83,0
1,0,1,111,42,1,1,0,0,8.83,1
1,0,1,11,39,6,1,0,0,8.83,0
3,0,1,174,17,3,1,0,0,8.83,0
2,1,1,162,18,4,0,0,0,8.83,1
2,0,2,139,1,5,1,0,0,8.83,0
1,0,1,19,93,1,1,1,1,8.83,0
1,0,1,110,18,4,0,0,0,8.83,0
2,0,1,9,54,4,1,0,1,8.83,1
1,1,1,47,28,7,1,0,0,8.83,0
6,1,1,349,21,7,1,0,0,8.83,0
2,0,1,109,21,7,1,1,1,8.83,1
1,0,1,0,23,2,0,0,0,8.83,0
4,0,1,38,21,1,1,0,1,8.83,0
1,0,1,58,28,3,0,0,1,8.83,0
4,0,1,192,20,7,1,0,1,8.83,1
4,1,1,210,21,7,1,0,0,8.83,0
2,0,1,326,22,7,0,0,0,8.83,1
2,0,1,13,17,2,1,1,1,8.83,0
2,0,1,240,64,3,0,1,0,8.83,0
1,0,1,39,21,1,0,0,0,8.83,0
1,0,1,23,35,7,0,0,0,8.83,0
5,0,2,198,34,1,1,1,1,8.83,0
1,0,1,75,30,2,1,0,0,8.83,0
1,0,1,54,20,1,1,0,1,8.83,0
1,0,1,32,41,7,0,0,0,8.83,0
2,0,1,101,34,4,1,0,0,8.83,0
2,0,1,294,49,2,1,0,0,8.83,0
1,0,1,304,59,3,1,0,1,8.83,0
3,0,1,32,23,3,1,0,0,8.83,1
2,1,1,160,24,3,1,0,0,8.83,0
3,0,1,363,18,1,1,1,1,8.83,0
1,0,1,214,31,7,1,0,0,8.83,0
1,0,1,162,18,2,1,0,0,8.83,1
5,0,1,97,21,3,1,1,0,8.83,1
2,0,1,71,30,1,1,1,0,8.83,1
2,0,1,231,17,2,1,1,1,8.83,0
2,0,1,163,35,5,1,0,1,8.83,1
1,0,1,62,21,4,1,1,0,8.83,0
1,0,1,1,18,2,1,0,0,8.83,0
1,0,1,314,19,3,0,1,0,8.83,0
2,0,1,178,69,5,1,0,0,8.83,0
1,0,1,253,107,3,0,0,0,8.83,0
2,0,1,81,43,4,1,0,1,8.83,0
1,0,1,30,85,5,1,0,0,8.83,1
1,0,1,120,20,5,1,0,1,8.83,0
1,0,1,25,19,3,1,0,1,8.83,0
1,0,1,62,30,4,1,0,1,8.83,0
1,0,1,58,17,3,1,1,0,8.83,0
4,0,1,268,18,2,1,0,1,8.83,0
2,0,1,199,27,5,1,0,0,8.83,0
5,0,1,206,17,7,1,0,0,8.83,0
2,0,1,159,29,7,1,1,1,8.83,0
1,0,1,171,35,3,1,0,1,8.83,0
1,0,1,6,18,2,1,0,1,8.83,1
1,0,1,269,29,7,1,0,0,8.83,0
1,0,1,13,22,6,1,0,1,8.83,0
1,0,1,301,121,7,0,1,0,8.83,0
1,0,1,301,34,6,1,0,0,8.83,0
1,0,1,72,26,3,1,0,1,8.83,0
2,0,1,224,18,2,1,0,1,8.83,0
3,0,1,269,17,5,1,1,1,8.83,0
2,0,1,246,24,6,0,0,0,8.83,0
1,1,1,44,19,7,1,0,0,8.83,0
1,1,1,32,60,3,1,0,0,8.83,0
2,0,1,198,20,1,1,0,0,8.83,0
2,0,1,94,22,5,1,0,1,8.83,0
1,0,1,265,59,2,1,0,0,8.83,0
2,0,1,229,20,4,1,0,1,8.83,0
2,0,1,282,18,6,1,1,0,8.83,0
1,0,1,32,48,1,0,0,0,8.83,0
2,0,1,113,47,6,1,1,1,8.83,0
1,1,1,96,20,2,1,1,1,8.83,0
1,0,1,66,203,3,0,0,0,8.83,1
1,0,1,49,40,5,0,0,0,8.83,0
1,0,1,3,49,2,1,1,1,8.83,0
2,0,1,254,30,5,1,0,0,8.83,0
1,0,1,192,61,1,0,1,1,8.83,0
1,0,1,186,19,7,0,0,0,8.83,1
2,0,1,296,37,6,1,0,1,8.83,0
2,0,1,74,31,3,1,1,0,8.83,0
1,0,1,283,56,1,1,0,0,8.83,0
1,0,1,29,48,5,1,0,0,8.83,0
1,0,1,8,188,7,1,1,0,8.83,0
1,1,1,55,20,6,1,1,1,8.83,0
1,0,1,231,89,7,0,0,1,8.83,0
2,0,1,250,30,3,1,1,1,8.83,1
2,0,1,132,19,1,1,0,0,8.83,0
1,0,1,123,78,5,1,0,0,8.83,0
2,0,1,54,209,3,1,0,0,8.83,0
2,0,1,156,22,3,1,0,0,8.83,0
1,0,1,26,126,2,1,0,0,8.83,0
1,0,1,285,20,3,1,1,0,8.83,1
5,0,1,343,43,4,1,0,0,8.83,0
1,0,1,218,27,1,0,0,1,8.83,0
2,0,1,347,21,1,1,0,0,8.83,0
1,0,1,363,31,7,1,0,1,8.83,0
4,0,1,346,35,3,1,1,0,8.83,0
1,0,1,61,41,7,1,0,0,8.83,0
1,0,1,87,23,2,0,1,1,8.83,0
1,0,1,352,20,7,1,1,1,8.83,0
1,0,1,77,35,1,0,0,1,8.83,0
2,0,1,255,33,6,1,0,0,8.83,0
2,0,1,139,21,3,0,0,0,8.83,1
1,0,1,280,80,1,1,0,0,8.83,0
2,0,1,123,29,4,0,0,0,8.83,0
1,0,1,11,30,1,0,0,0,8.83,0
6,0,1,23,17,2,1,0,0,8.83,0
1,0,1,269,20,2,1,0,0,8.83,0
1,0,1,14,200,5,1,0,0,8.83,0
1,0,1,267,91,2,1,0,0,8.83,0
1,0,1,213,28,2,1,0,0,8.83,0
1,0,1,237,21,3,0,0,0,8.83,1
1,0,1,191,17,3,0,0,0,8.83,0
1,0,1,10,61,5,1,0,1,8.83,0
1,0,1,244,30,3,1,0,1,8.83,1
2,0,1,224,18,7,0,0,0,8.83,0
3,0,1,109,20,2,1,0,1,8.83,0
2,0,1,265,37,4,1,0,0,8.83,0
2,0,1,75,21,6,0,0,0,8.83,1
1,0,1,119,21,7,0,1,0,8.83,0
1,0,1,50,17,3,1,1,1,8.83,1
1,0,1,130,28,2,1,1,1,8.83,0
1,0,1,30,85,5,1,0,0,8.83,1
1,0,1,153,20,3,0,0,0,8.83,0
2,0,1,74,22,3,1,1,1,8.83,0
1,0,1,27,62,2,1,0,1,8.83,0
1,1,1,121,19,2,1,0,0,8.83,1
1,0,1,18,27,3,1,1,1,8.83,0
1,0,1,293,44,3,0,0,0,8.83,0
1,0,1,207,78,5,1,1,1,8.83,0
1,1,1,280,35,7,1,1,1,8.83,1
2,0,1,82,18,2,0,0,1,8.83,0
1,0,1,86,29,5,0,0,0,8.83,0
1,0,1,252,25,2,0,0,0,8.83,1
1,0,1,40,17,5,1,0,1,8.83,0
5,0,1,81,17,4,1,1,1,8.83,0
1,0,1,11,30,2,1,0,0,8.83,0
1,0,1,254,60,2,0,0,0,8.83,0
1,0,1,60,18,1,1,0,1,8.83,1
2,0,1,8,25,6,1,0,0,8.83,0
1,0,1,7,68,1,1,0,1,8.83,0
3,0,1,92,34,1,1,0,0,8.83,0
1,0,1,77,31,3,1,0,0,8.83,0
2,0,1,358,27,6,1,0,1,8.83,0
1,0,1,42,17,6,0,0,1,8.83,0
5,0,1,301,34,7,1,0,0,8.83,0
1,1,1,269,20,7,0,0,0,8.83,0
1,0,1,161,56,5,1,0,1,8.83,0
2,0,1,182,31,1,1,0,1,8.83,0
1,0,1,27,20,6,1,1,0,8.83,0
4,1,1,292,22,3,1,0,1,8.83,0
2,0,1,35,255,3,1,0,0,8.83,1
2,0,1,95,26,5,1,0,1,8.83,0
1,0,1,34,28,6,1,0,0,8.83,0
2,0,1,229,23,3,0,0,0,8.83,0
2,0,1,73,17,7,1,0,0,8.83,1
1,0,1,159,20,7,1,0,0,8.83,0
1,0,1,83,56,2,1,0,1,8.83,0
2,0,1,363,18,7,1,0,0,8.83,0
1,0,1,56,21,1,0,0,0,8.83,0
1,0,1,41,41,1,1,1,0,8.83,0
2,0,1,40,63,1,1,0,1,8.83,0
1,0,1,5,28,1,1,0,1,8.83,1
2,1,1,79,37,7,1,0,1,8.83,0
1,1,1,94,64,7,1,1,0,8.83,0
1,0,1,282,26,7,1,0,1,8.83,0
2,0,1,9,41,1,1,0,0,8.83,1
1,0,1,28,17,5,1,0,0,8.83,0
1,0,1,61,83,3,1,1,1,8.83,1
1,0,1,82,21,2,0,0,0,8.83,0
3,0,1,122,19,1,1,1,0,8.83,0
2,0,1,203,28,5,1,0,1,8.83,0
2,0,1,321,80,4,1,0,0,8.83,0
3,0,1,259,21,6,1,0,1,8.83,0
7,0,1,321,17,2,1,0,1,8.83,0
1,0,1,83,92,7,1,0,0,8.83,0
2,0,1,46,46,1,1,0,1,8.83,0
1,0,1,107,18,4,0,0,0,8.83,0
2,0,1,186,20,6,1,1,1,8.83,1
3,0,1,109,20,2,1,0,1,8.83,0
1,0,1,298,118,7,0,0,0,8.83,0
2,0,1,133,19,3,1,0,1,8.83,0
1,0,1,16,30,6,1,0,1,8.83,0
1,0,1,58,21,6,1,0,0,8.83,0
1,0,1,286,21,6,1,0,0,8.83,0
2,0,1,349,17,7,1,0,1,8.83,0
1,0,1,97,23,7,1,0,1,8.83,1
4,0,1,393,17,1,1,0,1,8.83,0
1,0,1,17,79,4,1,0,1,8.83,1
1,0,1,58,21,2,1,0,0,8.83,1
1,1,1,225,107,1,1,1,0,8.83,0
1,0,1,125,181,1,1,1,0,8.83,1
1,0,1,7,20,1,1,0,0,8.83,1
3,0,1,222,17,3,1,1,0,8.83,0
2,0,1,17,90,3,1,0,1,8.83,0
1,0,1,337,26,1,0,0,1,8.83,0
2,0,1,408,22,3,0,0,0,8.83,0
1,0,1,35,21,1,1,0,1,8.83,0
2,0,1,162,18,5,1,1,1,8.83,0
2,1,1,52,28,3,1,1,1,8.83,0
2,0,1,329,25,6,1,1,1,8.83,1
2,0,1,64,20,5,1,0,0,8.83,0
1,0,1,32,18,4,1,0,0,8.83,1
1,0,1,46,23,5,1,0,0,8.83,0
2,0,1,89,21,3,1,0,1,8.83,0
1,0,1,125,181,1,1,1,0,8.83,1
3,0,1,71,18,2,1,0,1,8.83,1
1,1,1,174,29,5,1,0,1,8.83,0
2,0,1,66,18,2,0,0,1,8.83,1
1,1,1,94,92,7,1,0,0,8.83,0
2,0,1,42,21,7,0,0,0,8.83,0
5,0,1,145,47,3,1,0,1,8.83,0
1,0,2,27,1,2,1,0,0,8.83,0
9,0,1,164,17,5,1,0,0,8.83,0
2,0,1,235,25,7,1,0,0,8.83,0
1,1,1,34,76,6,1,0,0,8.83,0
2,1,1,74,19,6,0,0,0,8.83,0
4,1,1,74,27,3,1,0,1,8.83,0
1,0,1,3,92,1,1,0,0,8.83,0
2,0,1,203,22,5,1,0,1,8.83,0
1,1,1,194,43,2,0,0,0,8.83,0
1,1,1,155,24,1,0,0,1,8.83,0
1,0,1,249,94,5,0,0,0,8.83,0
1,1,1,54,29,7,1,0,1,8.83,0
1,0,1,414,305,2,0,1,0,8.83,0
1,0,1,377,19,5,0,0,0,8.83,0
1,0,1,402,31,1,0,0,1,8.83,0
1,0,1,131,88,2,1,1,0,8.83,0
1,0,1,43,30,2,1,0,1,8.83,0
2,0,1,98,20,3,1,0,0,8.83,0
2,0,1,411,23,2,1,1,1,8.83,0
2,0,1,291,17,6,0,0,0,8.83,0
2,0,1,318,47,1,0,0,0,8.83,0
1,0,1,136,30,2,1,0,0,8.83,0
1,0,1,152,17,3,1,0,1,8.83,0
2,0,1,287,20,3,1,0,0,8.83,0
1,0,1,279,18,7,1,1,0,8.83,0
1,0,1,63,278,3,0,0,0,8.83,0
1,0,1,68,26,2,1,0,1,8.83,1
2,0,1,277,21,2,1,1,0,8.83,0
2,0,1,331,17,3,1,0,1,8.83,0
1,0,2,12,1,3,1,0,0,8.83,0
